Serial Number,Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,Clock,Vehicle Year,Model,City,County,Driving Status,Pedestrian Involved,Bicyclist Involved,Other,Number Of Vehicles Involved,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Model_2,Moving_2,Accident Detail Description,Weather Clear,Weather Cloudy,Weather Raining,Weather Snowing,Weather Fog,Weather Other,Weather Wind,Lighting Daylight,Lighting Dark-Dawn,Lighting Dark-Street lights,Lighting Dark-No street lights,Lighting  Dark-Street lights not functioning,Roadway Dry,Roadway Wet,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
78,Lyft Inc.,Lyft Inc.,4/14/2021,09:38,AM,2019,FUSION,SAN FRANCISCO,SAN FRANCISCO,Moving,,,VEHICLE,2,,,Yes,,Toyota,Yes,"On April 14, 2021 at 9:38am, AV104 driving in autonomous mode in San Francisco, California, experienced longitudinal contact from a Toyota sedan at the intersection of First and Harrison Streets. The AV was moving at 9mph in the right lane and slowing to begin to execute a right turn, when the Toyota sedan “side-swiped” the left front lidar unit on the AV while overtaking at a greater speed from the left adjacent lane.  The AV vehicle sustained moderate property damage to the lidar unit, mount, and front fender/bumper.  The driver of the Toyota did not stop*.  There are no known injuries, and Lyft does not know what (if any) damage was sustained by the Toyota.   *Note: this lane merges onto a freeway ramp and may not have provided a place to safely pull over.",Yes,,,,,,,Yes,,,,,Yes,,37.7621,-122.3971,0,0,1,1,1
79,Waymo LLC,Waymo LLC,4/18/2021,04:00,PM,2017,Pacifica,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Dodge Ram,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling southbound on Park Presidio Bypass approaching Crossover Drive in San Francisco was involved in a collision. While in autonomous mode, the Waymo AV was stationary in stop-and-go traffic when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV was traveling 0 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",Yes,,,,,,,Yes,,,,,Yes,,37.7786,-122.4892,-1,0,0,1,1
80,Cruise LLC,Cruise,4/21/2021,12:38,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Silverado,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode was turning from Southbound on Folsom Street to Westbound on 15th Street. When the Cruise AV stopped to yield for an oncoming vehicle, a Chevrolet Silverado that was traveling behind made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. At the time of the incident, the driver of the Cruise AV reported a minor injury, but emergency services were not called. ",Yes,,,,,,,Yes,,,,,,,37.766846,-122.415609,-1,0,1,1,2
81,Zoox Inc,Zoox Inc.,05/11/2021,05:13,PM,2016,Highlander,San Francisco,San Francisco,Moving,,,Vehicle,1,Yes,,,,Ford Fusion,Yes,A Zoox vehicle in autonomous mode began to slow down during an unprotected left turn to yield for cross traffic entering the lane from the right. A passenger vehicle from behind did not slow and made contact with the rear sensors of the Zoox vehicle. There were no injuries and the police were not called.,Yes,,,,,,,Yes,,,,,Yes,,37.8002,-122.4091,-1,0,0,1,1
82,Cruise LLC,Cruise,05/11/2021,03:59,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Colorado,Yes,"A Cruise autonomous vehicle (Cruise AV), operating in autonomous mode, was stopped at a stop sign at the four way intersection of Castro and 22nd Streets. A 2017 Chevy Colorado that was traveling behind the Cruise AV made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. There were minor injuries but the police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.754377,-122.434279,-1,0,1,1,2
83,Cruise LLC,Cruise,5/17/2021,01:27,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota Sienna,Yes,"A Cruise autonomous vehicle, operating in autonomous mode, was traveling northbound on Guerrero Street. The Cruise AV was making a right turn onto 24th Street when a 2004 Toyota Sienna that was traveling straight on Guerrero made contact with the rear driver bumper of the Cruise AV. This caused damage to the rear driver bumper and wheel well of the Cruise AV. There were no injuries and police were not called.  ",Yes,,,,,,,Yes,,,,,,,37.7518272,-122.4230167,-1,0,1,1,1
84,Waymo LLC,Waymo LLC,5/23/2021,02:42,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda Fit,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Sanchez Street at 16th Street in San Francisco was involved in a collision. While in autonomous mode, the Waymo AV was stationary for a red light when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 7 MPH. The Waymo AV was traveling 0 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",Yes,,,,,,,Yes,,,,,Yes,,37.7587,-122.433,-1,0,1,1,1
85,Waymo LLC,Waymo LLC,6/25/2021,09:50,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,1,,Yes,,,BMW 5-Series,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode at the intersection of Brannan Street and Division Street in San Francisco when it was involved in a collision. The Waymo AV was stopped in traffic for a red traffic light on southbound Brannan Street at Division Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately less than 1 MPH. The Waymo AV was stationary. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle left the scene before exchanging information. No injuries were reported at the scene.",,,,,Yes,,,,,Yes,,,Yes,,37.7725,-122.4147,-1,0,1,1,1
86,Waymo LLC,Waymo LLC,6/26/2021,12:35,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode on westbound 21st Street heading toward Shotwell Street in San Francisco when it was involved in a collision. The Waymo AV was stopped behind a passenger vehicle that was double-parked and also was yielding to an oncoming passenger vehicle traveling eastbound on 21st Street. As the oncoming passenger vehicle approached the Waymo AV, it made contact with the Waymo AV’s front bumper at approximately 4 MPH. The Waymo AV was stationary. The Waymo AV sustained minor damage to its front bumper. The passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",Yes,,,,,,,,,Yes,,,Yes,,37.757185,-122.4150432,1,1,0,1,1
87,Cruise LLC,Cruise,07/01/2021,08:21,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,Yes,,1,,Yes,,,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on northbound 6th Street at the intersection with Harrison Street when a lane-splitting cyclist made contact with the Cruise AV’s right side mirror, damaging the mirror. The cyclist did not stop. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,-1,0,1,1,4
88,"Argo AI, LLC",Argo AI,07/08/2021,09:18,AM,2019,Fusion,Palo Alto,Santa Clara,Moving,,,,2,,Yes,,,Honda CR-V,Yes,"An Argo AI Autonomous Vehicle (""Argo AV"") traveling northeast bound on Stanford Ave was involved in a collision. The Argo AV came to a complete stop at the stop sign located at the intersection of Stanford Ave and Bowdoin Ave. When the Argo AV began to accelerate the vehicle directly behind the Argo AV made contact with the Argo AV's rear bumper. The Argo AV sustained minor damage to its rear bumper. No injuries were reported at the scene and the police were not contacted.",Yes,,,,,,,Yes,,,,,,,37.4334,-122.1842,0,0,1,1,0
89,Waymo LLC,Waymo LLC,07/09/2021,02:40,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Toyota Corolla,,"A Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Bush Street and Grant Avenue. The Waymo AV was stopped in traffic while in autonomous mode when the passenger vehicle approached from behind while changing lanes. The passenger vehicle struck the rear of the stopped Waymo AV traveling at 5.5 miles per hour and left the scene. The left rear bumper of the Waymo AV sustained minor damage.",Yes,,,,,,,Yes,,,,,Yes,,37.7929,-122.4079,-1,0,1,1,1
90,Cruise LLC,Cruise,07/10/2021,06:06,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Toyota,,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Clement Street. As the Cruise  AV was in the intersection with 26th Avenue, a blue Toyota Matrix traveling northbound on 26th Avenue failed to yield and entered the  intersection. The Toyota made contact with the Cruise AV's front left bumper and damaged the bumper wheel and the wheel cover. After   the incident, the passenger in the Cruise AV reported minor shoulder soreness. There were no additional injuries reported and police were  not called. ",Yes,,,,,,,Yes,,,,,,,37.78205,-122.486107,-1,0,1,1,1
91,Waymo LLC,Waymo LLC,7/14/2021,04:47,PM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Nissan Rouge,Yes,"On July 14, 2021 at 4:47 PM PDT, a Waymo Autonomous Vehicle (“Waymo AV”) was proceeding straight westbound on Clement Street in San Francisco, when a passenger vehicle struck the Waymo AV from behind two times. The passenger vehicle then struck the Waymo AV a third time, on the left side of the Waymo AV, as it passed on the left, then immediately fled the scene. The San Francisco Police Department is investigating the event as a criminal act. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). ",Yes,,,,,,,Yes,,,,,Yes,,37.7786,-122.4892,0,0,0,1,1
92,Cruise LLC,Cruise,7/15/2021,09:38,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda Accord,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response to a red light on eastbound McAllister Street at the intersection with Scott Street. Another vehicle approaching from the rear made contact with the Cruise AV's rear  bumper, damaging the rear left bumper. The driver of the other vehicle left the scene without exchanging information. There were no  injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.7781863,-122.4368976,0,0,1,1,0
93,Weride Corp,Weride Corp,7/16/2021,11:35,AM,2017,MKZ,San Jose,Santa Clara,Moving,,,,2,,Yes,,,Jeep UT,Yes,"At about 11:35 am our vehicle (car 1) was waiting behind a USPS truck to make an unprotected left turn, meanwhile one other vehicle (car 2) waited behind our vehicle.   Another non involved vehicle notices the queue of vehicles and passes on the right in the bike lane.  As the USPS truck begins to make the turn, car 1 begins to move forward at 7 MPH then slowed to 3 MPH when yielding to the vehicle passing in the bike lane. Car 2 directly behind us strikes our passenger rear bumper.  The safety driver then disengaged the vehicle (car 1) and moved into a nearby parking lot to exchange information.  ",Yes,,,,,,,Yes,,,,,,,37.3858417,-121.9318241,0,0,1,1,1
94,Waymo LLC,Waymo LLC,8/27/2021,04:15,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota PK,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Presidio Avenue and Bush Street. The Waymo AV was stopped at a red light in autonomous mode when the passenger vehicle behind the AV made contact with the rear of the Waymo vehicle. The Waymo AV sustained minor damage to the rear bumper. The passenger vehicle appeared to sustain minor scuffing or no damage.",Yes,,,,,,,Yes,,,,,Yes,,37.7856,-122.4358,-1,0,1,1,1
95,Cruise LLC,Cruise,8/28/2021,09:05,PM,2020,Bolt,San Francisco,San Francisco,Moving,,Yes,,1,,Yes,,,"Bicycle, possible Lyft E Bike",Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southbound on Steiner Street between McAllister Street and Fulton Street. The Cruise AV was traveling 24.4 mph upon entering the intersection with Fulton Street on a green light. As the Cruise AV continued through the intersection, a bicyclist traveling eastbound on Fulton Street failed to stop for their red light and entered the intersection. The Cruise AV was disengaged from autonomous mode and the Cruise AV operator braked to a speed of 8.7 mph and, shortly thereafter, the bicyclist made contact with the Cruise AV, damaging the front of the Cruise AV and the bicycle. The cyclist verbally reported they were okay. However, the Cruise AV Operator noticed minor injuries to the cyclict. Police and Emergency Medical Services were called, but the cyclist left the scene before the police or EMS arrived. ",Yes,,,,,,,,,Yes,,,Yes,,37.777625,-122.433141,0,0,1,1,4
96,Waymo LLC,Waymo LLC,09/02/2021,01:56,AM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Nissan,,"On September 2, 2021 at 1:56 AM PDT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving an unoccupied parked passenger vehicle at the north end of 8th Avenue (a dead-end road). While performing a multipoint turn in autonomous mode, the Waymo AV was reversing at approximately 2 MPH when it made contact with the rear tail light of an unoccupied parked passenger vehicle. The contact caused a small break in the tail light cover of the parked vehicle and minor damage to the rear bumper of the Waymo AV.",Yes,,,,,,,,,Yes,,,Yes,,37.7812,-122.4614,1,1,0,0,1
97,Zoox Inc.,Zoox Inc.,09/02/2021,08:02,PM,2019,Highlander,San Francisco,San Francisco,Moving,,,Vehicle,1,,Yes,,,CHEV,Yes,"A Zoox vehicle in autonomous mode making a right turn onto Essex St, fro Folsom St., when a passenger vehicle in the left adjacent turn lane encroached into its lane and made contact with the left bumper and sensors of the Zoox vehicle. There were no injuries and the police were not called. ",Yes,,,,,,,,,Yes,,,Yes,,37.7621,-122.3971,0,0,1,1,1
98,Apple Inc.,Apple Inc.,9/27/2021,10:53,AM,2017,RX 450h,Sunnyvale,Santa Clara,Moving,,,,1,,Yes,,,,,"A test vehicle, operating in autonomous mode in Sunnyvale and turning right from Mathilda Avenue onto Del Ray Avenue, made contact with a curb at approximately 13 miles per hour. While there was no tire or wheel damage, the contact resulted in misalignment. No other agents were involved, no injuries were reported, and law enforcement was not called to the scene.",,Yes,,,,,,Yes,,,,,Yes,,37.3886,-122.0177,0,0,1,0,0
99,Waymo LLC,Waymo LLC,10/01/2021,03:51,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,, Chevrolet Truck Blazer 4D ,Yes,"On October 1, 2021 at 3:51 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV at John F. Kennedy Drive at Stanyan Street.   The Waymo AV was traveling in autonomous mode westbound on Fell Street / John F. Kennedy Drive when it stopped for pedestrians who were in a crosswalk and between the westbound and eastbound lanes of John F. Kennedy Drive. An SUV following behind the Waymo AV struck the rear of the Waymo AV. The Waymo AV sustained minor damage to its rear bumper and trunk, and the SUV sustained minor damage to its front bumper and hood. The Waymo AV test driver later reported lower back pain.",Yes,,,,,,,Yes,,,,,Yes,,37.77144709,-122.4540469,-1,0,1,1,0
100,Cruise LLC,Cruise,10/02/2021,01:56,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response a stop sign on northbound Capp Street at the intersection with 22nd Street. An SFPD 2016 Ford Explorer that was in front of the Cruise AV reversed from the intersection of Capp Street and 22nd Street and made contact with the Cruise AV's front bumper, damaging the front bumper. There were no injuries and the officer that struck the Cruise AV filed a police report.",Yes,,,,,,,,,Yes,,,Yes,,37.755373,-122.417751,0,0,1,1,2
101,Waymo LLC,Waymo LLC,10/18/2021,12:57,PM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Mitsubishi Outlander Sport ES/S,Yes,"On October 18, 2021 at 12:57 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV at Cesar Chavez and Evans Avenue.   As the Waymo AV approached a right turn from Cesar Chavez onto Evans Avenue, it braked behind stopped traffic. An SUV following behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver’s seating position. The Waymo AV sustained minor damage to its rear bumper and trunk, and the SUV sustained minor damage to its front bumper and hood.",Yes,,,,,,,Yes,,,,,Yes,,37.7482208,-122.396485,-1,1,1,1,0
102,"Argo AI, LLC",Argo AI,10/19/2021,02:25,PM,2020,Escape,Palo Alto,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Audi,Yes,"An Argo AI Autonomous Vehicle (“Argo AV”) was involved in a rear-end collision on Grant Ave. The Argo AV came to a complete stop at the stop sign located at the intersection of Grant Ave. and El Camino Real. After the Argo AV began to initiate a right-hand turn, the Argo AV came to a stop in response to oncoming traffic. A vehicle trailing behind the Argo AV moved forward and contacted the Argo AV’s left rear bumper. The Argo AV sustained minor damage to its left rear bumper. ",Yes,,,,,,,Yes,,,,,Yes,,37.418,-122.1274,0,0,1,1,0
103,"Pony.ai, Inc.",Pony.ai ,10/28/2021,10:50,AM,2021,Kona/EV,Fremont,Alameda,Moving,,,,1,,,Yes,,,,"On October 28, 2021, after turning right onto Fremont Blvd from Cushing Pkwy, the Pony.ai Autonomous Vehicle (""Pony.ai AV"") performed a left lane change maneuver in autonomous mode. While performing the lane change, the Pony.ai AV came into contact with a center divider on Fremont Blvd. and the traffic sign that was posted on the divider.  The Pony.ai AV suffered moderate damage to the front of the vehicle and the undercarriage. There were no injuries and no other vehicles involved.  Fremont Police Department were called to report the incident and the damaged street sign.  Pony.ai has subsequently worked with local authorities to resolve all issues related to the damaged sign.",Yes,,,,,,,Yes,,,,,Yes,,37.5308,-121.9712,0,0,0,0,0
104,WeRide Corp,WeRide Corp,11/03/2021,03:27,PM,2019,Leaf SL,San Jose,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,BMW CV,Yes,"At 3:27 PM on 11/03/2021, a driver from Weride was operating one of our autonomous vehicles in autonomous mode on the on-ramp to CA 87 S from Charcot Avenue in North San Jose.  Our car was in the queue of traffic waiting for the metering light.   While our car was stationary (0 MPH), the other car involved accelerated slightly to about 5 MPH, which resulted in a minor rear end collision.  Our driver and the other party pulled over onto the shoulder.  There were no injuries and information was exchanged.  Since damage to our car was minimal, it was driven back to the office in manual mode.  ",Yes,,,,,,,Yes,,,,,Yes,,37.3864,-121.88,-1,0,0,1,1
105,Waymo LLC,Waymo LLC,11/04/2021,06:41,AM,2021,I-Pace,San Francisco,San Francisco,Moving,,,manhole cover,1,,Yes,,,,,"On November 4, 2021 at 6:41 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA made contact with a fixed object at the intersection of Icehouse Alley and Green Street.    The Waymo AV was traveling eastbound on Green Street when the vehicle approached a partially covered manhole. The manhole cover made contact with the underside of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to the underside of the car. ",Yes,,,,,,,,,Yes,,,Yes,,37.7974,-122.4001,0,0,1,0,0
106,Waymo LLC,Waymo LLC,11/06/2021,04:28,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda,Yes,"On November 6, 2021 at 4:28 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Powell Street at Pacific Avenue.   The Waymo AV was traveling in autonomous mode southbound on Powell Street when it activated its right turn signal and prepared to make a right turn onto Pacific Avenue. The Waymo AV stopped to yield to a pedestrian who was in the adjacent crosswalk on Pacific Avenue. A passenger vehicle behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to its rear bumper, and the trailing passenger vehicle sustained minor damage to its front bumper.",,Yes,,,,,,Yes,,,,,Yes,,37.7964344,-122.410239,0,0,1,1,1
107,Waymo LLC,Waymo LLC,11/06/2021,01:50,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota Scion TC,Yes,"On November 6, 2021 at 1:50 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Waller Street at Alpine Terrace.   The Waymo AV was traveling westbound on Waller Street when it yielded to an oncoming passenger vehicle. As the passenger vehicle passed the stopped Waymo AV, its driver side rearview mirror made contact with a Waymo AV sensor. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage. ",Yes,,,,,,,,,Yes,,,Yes,,37.7712,-122.4413,-1,0,1,1,1
108,Waymo LLC,Waymo LLC,11/12/2021,01:23,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota Prius,Yes,"On November 12, 2021 at 1:23 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Divisadero Street at Turk Street.   The Waymo AV was stopped at a red light on Divisadero Street at Turk Street. When the traffic light turned green, the passenger vehicle behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage, and the trailing passenger vehicle sustained minor damage.  ",Yes,,,,,,,Yes,,,,,Yes,,37.77873679,-122.4385018,-1,0,1,1,1
109,Cruise LLC,Cruise,11/13/2021,04:49,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Audi A5,Yes,"A Cruise autonomous vehicle (Cruise AV), operating in supervised autonomous mode, was traveling westbound on Ocean Avenue between Lee Avenue and Harold Avenue. The Cruise AV was traveling 18.8 mph upon coming to the intersection with Lee Avenue on a green light. As the Cruise AV entered the intersection, a 2014 Audi made a prohibited left turn from the rightmost westbound lane on Ocean Ave. The Cruise AV hard braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to hard brake while steering away from the approaching vehicle but, shortly thereafter, the 2014 Audi made contact with the Cruise AV, damaging the front right of the Cruise AV and the front left bumper of the 2014 Audi. The Cruise AV was traveling 11.4 mph at the time of contact. Police were not called to the scene and no injuries were reported. ",Yes,,,,,,,Yes,,,,,Yes,,37.7237174,-122.4537773,0,0,1,1,1
110,Cruise LLC,Cruise,11/14/2021,08:38,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response to a red light on southbound 4th Avenue at the intersection with Geary Boulevard. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper, damaging the rear bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.7815257,-122.4622737,0,0,1,1,0
111,Cruise LLC,Cruise,11/15/2021,08:44,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,Yes,,,,Toyota,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a stop sign on westbound 17th Street at the intersection with Roosevelt Way. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper. There were no injuries and police were not called. The Cruise AV test operator later mentioned neck pain.",Yes,,,,,,,Yes,,,,,Yes,,37.7617557,-122.4449681,-1,0,1,1,1
112,Waymo LLC,Waymo LLC,11/15/2021,02:20,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Toyota Prius,Yes,"On November 15, 2021 at 2:20 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Noriega Street at 40th Avenue.   The Waymo AV was stopped at a stop sign at Noriega Street at 40th Avenue when a passenger vehicle made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV’s rear bumper and undercarriage sustained moderate damage, and the passenger vehicle’s front bumper and hood sustained moderate damage. ",Yes,,,,,,,,,Yes,,,Yes,,37.7533779,-122.498848,-1,0,1,1,1
113,Cruise LLC,Cruise,11/21/2021,02:05,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Honda,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on southbound Cayuga Street at the intersection with Geneva Street. As the Cruise AV entered the intersection on a green light and continued southbound on Cayuga Street, a Honda Civic traveling northbound on Cayuga Street initiated an unprotected left turn in the intersection. The Cruise AV hard braked but, shortly thereafter, the Honda Civic made contact with the Cruise AV, damaging the back left bumper of the Cruise AV. Police were not called to the scene and no injuries were reported.",Yes,,,,,,,Yes,,,,,Yes,,37.7271,-122.4368348,-1,0,1,1,1
114,Waymo LLC,Waymo LLC,11/26/2021,08:02,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,,Yes,"On November 26, 2021 at 8:02 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Scotia Avenue, Thornton Avenue, and Bridgeview Drive.  The Waymo AV was traveling southbound on Scotia Avenue, a narrow road with vehicles parked on both sides, and approaching the intersection with Thornton Avenue and Bridgeview Drive. A passenger vehicle approaching from the right of the Waymo AV on eastbound Thornton Avenue made a left turn in front of the Waymo AV to head northbound on Scotia Avenue. The Waymo AV slowed to a near stop and nudged to its right in order to share the narrow road with the oncoming vehicle and then came to a stop at the stop sign as the oncoming vehicle completed its turn. At approximately 5 mph, the turning passenger vehicle made contact with Waymo AV’s sensor hardware housing on the driver side rear corner fender of the stopped Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to the sensor hardware housing (which was the reason for towing the Waymo AV) and the passenger vehicle left the scene without exchanging information. ",Yes,,,,,,,,,Yes,,,Yes,,37.73169566,-122.3994673,1,1,1,1,1
115,Waymo LLC,Waymo LLC,11/28/2021,06:08,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,BMW 325I,Yes,"On November 28, 2021 at 6:08 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Clay Street at Franklin Street.   The Waymo AV was stopped at a red light on eastbound Clay Street at Franklin Street when a passenger vehicle struck the Waymo AV’s rear bumper. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV’s rear bumper sustained damage, and the passenger vehicle’s front bumper sustained damage. ",Yes,,,,,,,,,Yes,,,Yes,,37.7917,-122.4186,0,0,1,1,1
116,Cruise LLC,Cruise,12/01/2021,05:22,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Ford,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on southbound Laguna Street at the intersection with McAllister Street. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper, damaging the rear right bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,,,37.779746,-122.426822,-1,0,1,1,0
